Date,Tourists
Jan-99,30.052513
Apr-99,19.148496
Jul-99,25.317692
Oct-99,27.591437
Jan-00,32.076456
Apr-00,23.487961
Jul-00,28.47594
Oct-00,35.123753
Jan-01,36.838485
Apr-01,25.007017
Jul-01,30.72223
Oct-01,28.693759
Jan-02,36.640986
Apr-02,23.824609
Jul-02,29.311683
Oct-02,31.770309
Jan-03,35.177877
Apr-03,19.775244
Jul-03,29.60175
Oct-03,34.538842
Jan-04,41.273599
Apr-04,26.655862
Jul-04,28.279859
Oct-04,35.191153
Jan-05,41.727458
Apr-05,24.04185
Jul-05,32.328103
Oct-05,37.328708
Jan-06,46.213153
Apr-06,29.346326
Jul-06,36.48291
Oct-06,42.977719
Jan-07,48.901525
Apr-07,31.180221
Jul-07,37.717881
Oct-07,40.420211
Jan-08,51.206863
Apr-08,31.887228
Jul-08,40.978263
Oct-08,43.772491
Jan-09,55.558567
Apr-09,33.850915
Jul-09,42.076383
Oct-09,45.642292
Jan-10,59.76678
Apr-10,35.191877
Jul-10,44.319737
Oct-10,47.913736
