Date,consumption,income
Jan-70,0.61227692,0.496540045
Apr-70,0.454929794,1.736459591
Jul-70,0.874673021,1.344880981
Oct-70,-0.272514385,-0.328145953
Jan-71,1.892186993,1.965432327
Apr-71,0.913378185,1.490757133
Jul-71,0.792857898,0.442927733
Oct-71,1.649995662,1.050230993
Jan-72,1.32724825,0.629713564
Apr-72,1.889905062,0.934207242
Jul-72,1.532724163,2.024456496
Oct-72,2.317057775,3.901784825
Jan-73,1.813855694,1.129195652
Apr-73,-0.050557716,0.981487307
Jul-73,0.359667223,0.503626895
Oct-73,-0.293315461,1.211474571
Jan-74,-0.878770942,-1.546943855
Apr-74,0.346720029,-0.860297695
Jul-74,0.411953557,0.310671244
Oct-74,-1.47820468,-0.452458059
Jan-75,0.837359874,-0.393048299
Apr-75,1.653973693,4.564235521
Jul-75,1.414318836,-1.359432036
Oct-75,1.053109931,1.006575406
Jan-76,1.97774749,1.462092078
Apr-76,0.915072184,0.819999864
Jul-76,1.050746068,0.896376224
Oct-76,1.295196193,0.715996597
Jan-77,1.135458885,0.082385052
Apr-77,0.551532397,1.131054305
Jul-77,0.950159598,1.490114704
Oct-77,1.496161496,1.995499552
Jan-78,0.582299782,0.614904129
Apr-78,2.11467168,1.141343133
Jul-78,0.418698865,0.808026906
Oct-78,0.802764302,0.782540078
Jan-79,0.50412878,1.087249832
Apr-79,-0.058551127,-0.700631545
Jul-79,0.977555967,0.568900915
Oct-79,0.26591209,0.797134552
Jan-80,-0.173684254,0.279831351
Apr-80,-2.296562996,-1.409415369
Jul-80,1.066919835,1.02444505
Oct-80,1.32441742,2.043130338
Jan-81,0.54583283,-0.229300048
Apr-81,0,0.01377284
Jul-81,0.404821844,2.193050433
Oct-81,-0.758748833,0.201893379
Jan-82,0.643998142,0.116463988
Apr-82,0.356859498,0.69817265
Jul-82,0.76412375,0.436938581
Oct-82,1.807886611,0.351269015
Jan-83,0.975937338,0.784231599
Apr-83,1.96559809,0.72600744
Jul-83,1.751349705,1.489909944
Oct-83,1.573740048,2.042140999
